seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,RHOTA___5,RHOTA___10,RHOTA___15,RHOTA___20,RHOTA___25,RHOTA___30,RHOTA___35,RHOTA___40,RHOTA___45,RHOTA___50,RHOTA___55,RHOTA___60,RHOTA___65,RHOTA___70,RHOTA___75,RHOTA___80,RHOTA___85,RHOTA___90,RHOTA___95,RHOTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
MOT17-02-MOTSynth,0.22674050909520135,0.38365494755717994,0.08699011812600775,0.22674050909520135,0.22360639513895697,0.22064228563597682,0.20633720134433017,0.18090218219910267,0.15252858628459756,0.14086066838113664,0.12904587827206662,0.11967612287324235,0.10512339915730892,0.07719681740761729,0.06812483369796639,0.04485630677801058,0.02332081627341345,0.007162067012981343,0.0,0.0,0.0,0.0,0.10137495102904785,0.28868360277136257,0.2798165137614679,0.2653061224489796,0.2345132743362832,0.18471337579617833,0.1411042944785276,0.1227364185110664,0.10495049504950495,0.08984375,0.07722007722007722,0.05084745762711865,0.04299065420560748,0.025735294117647058,0.007220216606498195,0.0017953321364452424,0.0,0.0,0.0,0.0,0.10091983574035603,0.17808859932189777,0.17868788112220627,0.1834975301786716,0.18154639978954729,0.1771696250113925,0.16487782827558267,0.16166129122458908,0.15867327439621817,0.15941425403515994,0.14310953120251033,0.11720052281801176,0.10795353204395362,0.0781840008730765,0.07532467532467532,0.02857142857142857,0.0,0.0,0.0,0.0,0.11020844074678535,0.3094059405940594,0.30198019801980197,0.2896039603960396,0.2623762376237624,0.21534653465346534,0.1707920792079208,0.15099009900990099,0.1311881188118812,0.11386138613861387,0.09900990099009901,0.06683168316831684,0.05693069306930693,0.034653465346534656,0.009900990099009901,0.0024752475247524753,0.0,0.0,0.0,0.0,0.11659718603439291,0.8116883116883117,0.7922077922077922,0.7597402597402597,0.6883116883116883,0.564935064935065,0.44805194805194803,0.3961038961038961,0.34415584415584416,0.2987012987012987,0.2597402597402597,0.17532467532467533,0.14935064935064934,0.09090909090909091,0.025974025974025976,0.006493506493506494,0.0,0.0,0.0,0.0,0.3058783321941217,0.28044444444444444,0.2814207650273224,0.28822412155745486,0.2840670859538784,0.27777777777777773,0.2648953301127214,0.2632058287795993,0.25890985324947585,0.2608695652173913,0.23888888888888887,0.2037037037037037,0.19082125603864736,0.14285714285714285,0.1388888888888889,0.05555555555555555,0.0,0.0,0.0,0.0,0.18055422147646807,0.3008732026143791,0.30080360012857604,0.30840735154460647,0.3055555555555555,0.30297498309668697,0.27772567964383826,0.2692542590806814,0.26103095326180786,0.26240409207161125,0.2405718954248366,0.204720406681191,0.19138959931798807,0.1430905695611578,0.1388888888888889,0.05555555555555555,0.0,0.0,0.0,0.0,0.18753929433828215,0.38365494755717994,0.39104779980979815,0.4024440868592438,0.42568042722771043,0.469520703584017,0.5187852678179449,0.5434168322927188,0.5699633232986409,0.5933909594501042,0.6096252110703684,0.6521408806883542,0.6640745206205072,0.6893007970771257,0.7300577149188183,0.7535006956613958,1.0,1.0,1.0,1.0,0.6524528509438909,0.23473745031901141,0.2322933527353348,0.2305246439377688,0.21825091370008243,0.19532758328525263,0.16780890055796588,0.15623461322021168,0.14427767801625205,0.13472612194632647,0.11903470298656621,0.08850258870866122,0.07839559553024593,0.052051383890426885,0.027309135185881406,0.008409599149190806,0.0,0.0,0.0,0.0,0.10988864542995677,125.0,122.0,117.0,106.0,87.0,69.0,61.0,53.0,46.0,40.0,27.0,23.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,47.10526315789474,279.0,282.0,287.0,298.0,317.0,335.0,343.0,351.0,358.0,364.0,377.0,381.0,390.0,400.0,403.0,404.0,404.0,404.0,404.0,356.89473684210526,29.0,32.0,37.0,48.0,67.0,85.0,93.0,101.0,108.0,114.0,127.0,131.0,140.0,150.0,153.0,154.0,154.0,154.0,154.0,106.89473684210526,-0.22524752475247525,0.6049887653433871,-0.18316831683168316,0.09900990099009901,0.2597402597402597,0.0,0.13043478260869565,0.8695652173913043,-0.26435754798580324,0.14336917562724014,0.19,-0.18621398247865908,24.199550613735482,40,364,114,17,0,3,20,9.0,600,0.07885304659498207,0.054455445544554455,0.14285714285714285,22,382,132,154,404,11,23
MOT17-04-MOTSynth,0.3072363809301692,0.5393806958498574,0.1657173729365065,0.3072363809301692,0.3072363809301692,0.3072363809301692,0.30313114398747765,0.30207574831743106,0.3004122817496342,0.2892785367396048,0.25876324456251587,0.2404764233809183,0.18271451502799632,0.15863295722195064,0.1500974460754141,0.10295712571779794,0.05889944129684023,0.02860338308724821,0.0,0.0,0.0,0.0,0.17356586262922827,0.2037037037037037,0.2037037037037037,0.2037037037037037,0.19894598155467721,0.19736842105263158,0.1926605504587156,0.17723156532988357,0.1548223350253807,0.12903225806451613,0.10571081409477522,0.08721624850657109,0.07311320754716981,0.050808314087759814,0.031746031746031744,0.011111111111111112,0.0,0.0,0.0,0.0,0.10636199735212289,0.46338967849287943,0.46338967849287943,0.46338967849287943,0.4618765844732721,0.46233210578911543,0.46842770256363586,0.47216234682827674,0.43248551138014824,0.44817405406610966,0.31581058463881356,0.2885289788070313,0.30814190861243296,0.20863061344175024,0.10927804183001774,0.07363381716322893,0.0,0.0,0.0,0.0,0.28629743605644586,0.2037037037037037,0.2037037037037037,0.2037037037037037,0.19973544973544974,0.1984126984126984,0.19444444444444445,0.18121693121693122,0.16137566137566137,0.13756613756613756,0.11507936507936507,0.09656084656084656,0.082010582010582,0.0582010582010582,0.037037037037037035,0.013227513227513227,0.0,0.0,0.0,0.0,0.10978835978835981,1.0,1.0,1.0,0.9805194805194806,0.974025974025974,0.9545454545454546,0.8896103896103896,0.7922077922077922,0.6753246753246753,0.564935064935065,0.474025974025974,0.4025974025974026,0.2857142857142857,0.18181818181818182,0.06493506493506493,0.0,0.0,0.0,0.0,0.538961038961039,0.5266955266955267,0.5266955266955267,0.5266955266955267,0.522075055187638,0.5214814814814814,0.5264550264550263,0.5340632603406326,0.5009107468123861,0.5042735042735043,0.4016602809706258,0.37062404870624044,0.38888888888888884,0.3005050505050505,0.18253968253968253,0.13333333333333336,0.0,0.0,0.0,0.0,0.3403629968200564,0.5604893472540531,0.5604893472540531,0.5604893472540531,0.5559342942475003,0.5555664488017429,0.5612133742385843,0.5708816373264634,0.5422559734276223,0.5467650201106083,0.45245473668394565,0.4305331721729787,0.4515865485979338,0.3487262329174094,0.22703664799253034,0.13496732026143793,0.0,0.0,0.0,0.0,0.3715468130811009,0.5393806958498574,0.5393806958498574,0.5393806958498574,0.5466762857567623,0.5488246006548264,0.5545155234097713,0.571593776213128,0.5947197530690453,0.6234252298187187,0.6516518429559331,0.6751591149120462,0.692539594770096,0.7178862073090709,0.7444438581045126,0.7796105818614636,1.0,1.0,1.0,1.0,0.7010099187571024,0.3072363809301692,0.3072363809301692,0.3072363809301692,0.3037319991736835,0.30287383622961483,0.30179987473054665,0.29251292540399754,0.26418295825878424,0.24830137650692155,0.19063913964760162,0.1669149557437664,0.15896822722530815,0.11019311446476944,0.06361866772098619,0.031208849554555853,0.0,0.0,0.0,0.0,0.1766660561816339,154.0,154.0,154.0,151.0,150.0,147.0,137.0,122.0,104.0,87.0,73.0,62.0,44.0,28.0,10.0,0.0,0.0,0.0,0.0,83.0,602.0,602.0,602.0,605.0,606.0,609.0,619.0,634.0,652.0,669.0,683.0,694.0,712.0,728.0,746.0,756.0,756.0,756.0,756.0,673.0,0.0,0.0,0.0,3.0,4.0,7.0,17.0,32.0,50.0,67.0,81.0,92.0,110.0,126.0,144.0,154.0,154.0,154.0,154.0,71.0,-0.005291005291005291,0.6529859597772594,0.0291005291005291,0.1164021164021164,0.5714285714285714,0.047619047619047616,0.14285714285714285,0.8095238095238095,-0.045684173994181454,0.1934065934065934,0.06285714285714286,0.027228871232842834,57.46276446039882,88,668,66,26,2,6,34,8.0,1050,0.11868131868131868,0.07142857142857142,0.35064935064935066,54,702,100,154,756,10,42
MOT17-05-MOTSynth,0.43564869997486483,0.5807157547783318,0.25298806362410264,0.43564869997486483,0.43564869997486483,0.43564869997486483,0.43564869997486483,0.43564869997486483,0.43564869997486483,0.43564869997486483,0.38682811792113,0.37229092434617894,0.3241659972702316,0.29690173642438933,0.24646871276457458,0.18571428571428572,0.08845889466860693,0.047911923018058654,0.01139901881468883,0.0,0.0,0.0,0.26366739530348415,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.20114942528735633,0.1875,0.15469613259668508,0.11764705882352941,0.08854166666666667,0.0663265306122449,0.034653465346534656,0.01951219512195122,0.004807692307692308,0.0,0.0,0.0,0.12791524854306402,0.8540540540540541,0.8540540540540541,0.8540540540540541,0.8540540540540541,0.8540540540540541,0.8540540540540541,0.8540540540540541,0.7439046499916065,0.7392028392028392,0.6792903741179603,0.7492804492804492,0.6860818037288625,0.52,0.22580645161290322,0.11764705882352941,0.02702702702702703,0.0,0.0,0.0,0.550874685903345,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2046783625730994,0.19298245614035087,0.16374269005847952,0.1286549707602339,0.09941520467836257,0.07602339181286549,0.04093567251461988,0.023391812865497075,0.005847953216374269,0.0,0.0,0.0,0.13111726685133887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9210526315789473,0.868421052631579,0.7368421052631579,0.5789473684210527,0.4473684210526316,0.34210526315789475,0.18421052631578946,0.10526315789473684,0.02631578947368421,0.0,0.0,0.0,0.5900277008310248,0.9002770083102493,0.9002770083102493,0.9002770083102493,0.9002770083102493,0.9002770083102493,0.9002770083102493,0.9002770083102493,0.8285714285714286,0.8309409888357256,0.7631578947368421,0.7990430622009569,0.7956656346749226,0.6842105263157895,0.3684210526315789,0.21052631578947367,0.05263157894736842,0.0,0.0,0.0,0.612374081098728,0.9002770083102493,0.9002770083102493,0.9002770083102493,0.9002770083102493,0.9002770083102493,0.9002770083102493,0.9002770083102493,0.8285714285714286,0.8309409888357256,0.7631578947368421,0.7990430622009569,0.7956656346749226,0.6842105263157895,0.3684210526315789,0.21052631578947367,0.05263157894736842,0.0,0.0,0.0,0.612374081098728,0.5807157547783318,0.5807157547783318,0.5807157547783318,0.5807157547783318,0.5807157547783318,0.5807157547783318,0.5807157547783318,0.5970208539201375,0.6066969744159479,0.6308891572205191,0.6623687298311383,0.6897952155998516,0.7135106084946307,0.7517040291345592,0.7784546262495877,0.8277350037365533,1.0,1.0,1.0,0.7012202885290131,0.43564869997486483,0.43564869997486483,0.43564869997486483,0.43564869997486483,0.43564869997486483,0.43564869997486483,0.43564869997486483,0.39020659357678295,0.3776945584666064,0.33350986970239094,0.3104813268030642,0.26116462804867935,0.19882696935448685,0.09614332506687173,0.052459298357642244,0.012571904773411904,0.0,0.0,0.0,0.2675052302091574,38.0,38.0,38.0,38.0,38.0,38.0,38.0,35.0,33.0,28.0,22.0,17.0,13.0,7.0,4.0,1.0,0.0,0.0,0.0,22.42105263157895,133.0,133.0,133.0,133.0,133.0,133.0,133.0,136.0,138.0,143.0,149.0,154.0,158.0,164.0,167.0,170.0,171.0,171.0,171.0,148.57894736842104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,10.0,16.0,21.0,25.0,31.0,34.0,37.0,38.0,38.0,38.0,15.578947368421053,0.0935672514619883,0.6308891572205191,0.10526315789473684,0.16374269005847952,0.7368421052631579,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.03312804913552359,0.2679425837320574,0.011947431302270013,0.10350274856336852,17.664896402174534,28,143,10,2,1,1,9,1.0,837,0.2583732057416268,0.15789473684210525,0.7105263157894737,27,144,11,38,171,2,11
MOT17-09-MOTSynth,0.2840674649022796,0.507029030485507,0.14403045132187858,0.2840674649022796,0.2840674649022796,0.2840674649022796,0.2824466763999724,0.2739176230138011,0.2667551469076279,0.24889174153264662,0.24889174153264662,0.21701178132959859,0.19682145177634688,0.17668754170840112,0.1080343795482943,0.020205237723425036,0.014664711502135329,0.0,0.0,0.0,0.0,0.0,0.15297528566745972,0.2796610169491525,0.2796610169491525,0.2796610169491525,0.2689075630252101,0.25833333333333336,0.24793388429752067,0.22764227642276422,0.22764227642276422,0.1889763779527559,0.14393939393939395,0.11029411764705882,0.06338028169014084,0.013422818791946308,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.13663800215984276,0.288543342566331,0.288543342566331,0.288543342566331,0.29666746487867174,0.290442054958184,0.28700517722023094,0.27212475633528266,0.27212475633528266,0.2492063492063492,0.2691319090565288,0.28304761904761905,0.18414918414918413,0.0304147465437788,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.17537905841822285,0.2796610169491525,0.2796610169491525,0.2796610169491525,0.2711864406779661,0.2627118644067797,0.2542372881355932,0.23728813559322035,0.23728813559322035,0.2033898305084746,0.16101694915254236,0.1271186440677966,0.07627118644067797,0.01694915254237288,0.00847457627118644,0.0,0.0,0.0,0.0,0.0,0.14183764495985726,1.0,1.0,1.0,0.9696969696969697,0.9393939393939394,0.9090909090909091,0.8484848484848485,0.8484848484848485,0.7272727272727273,0.5757575757575758,0.45454545454545453,0.2727272727272727,0.06060606060606061,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.507177033492823,0.4434343434343434,0.4434343434343434,0.4434343434343434,0.45555555555555555,0.4469534050179211,0.4414814814814815,0.41587301587301584,0.41587301587301584,0.375,0.3912280701754386,0.4185185185185185,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.2673513148256245,0.468975468975469,0.468975468975469,0.468975468975469,0.4818948412698412,0.474142345110087,0.4695767195767196,0.45719954648526073,0.45719954648526073,0.44411375661375657,0.44319131161236425,0.4703703703703704,0.3412698412698412,0.06349206349206349,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.2937265958231865,0.507029030485507,0.507029030485507,0.507029030485507,0.5179828303095637,0.5267805254447268,0.5354291648926974,0.5502093149101867,0.5502093149101867,0.5726685402468475,0.595035661504585,0.6166178080973024,0.6422173860544835,0.6894803420412672,0.7030308137722617,1.0,1.0,1.0,1.0,1.0,0.6853025680863488,0.2840674649022796,0.2840674649022796,0.2840674649022796,0.2836409594282929,0.2762292051181426,0.2701248191805907,0.25411016524247626,0.25411016524247626,0.2251355972002542,0.20817012013226527,0.18968560709751167,0.11851277043905928,0.02270471710257838,0.016534008228581126,0.0,0.0,0.0,0.0,0.0,0.15637686995363512,33.0,33.0,33.0,32.0,31.0,30.0,28.0,28.0,24.0,19.0,15.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,16.736842105263158,85.0,85.0,85.0,86.0,87.0,88.0,90.0,90.0,94.0,99.0,103.0,109.0,116.0,117.0,118.0,118.0,118.0,118.0,118.0,101.26315789473684,0.0,0.0,0.0,1.0,2.0,3.0,5.0,5.0,9.0,14.0,18.0,24.0,31.0,32.0,33.0,33.0,33.0,33.0,33.0,16.263157894736842,-0.01694915254237288,0.595035661504585,0.0423728813559322,0.16101694915254236,0.5757575757575758,0.14285714285714285,0.0,0.8571428571428571,-0.08215527484248208,0.25165562913907286,0.02666666666666667,0.035211033559201216,11.305677568587114,19,99,14,7,1,0,6,2.0,525,0.13245033112582782,0.0847457627118644,0.30303030303030304,10,108,23,33,118,3,7
MOT17-10-MOTSynth,0.3047637234070611,0.3724373802813202,0.11350540275050669,0.3047637234070611,0.27399515958002996,0.23061586838938253,0.1910338936496837,0.16600338566852393,0.1472813671821494,0.1427884628970494,0.1351087493437029,0.11710460426855379,0.09483069306414994,0.07988559912395457,0.0627136503808511,0.029405951488541495,0.028441633373041515,0.010335675777747457,0.007301215351942301,0.007301215351942301,0.0,0.0,0.10678478148938463,0.34748010610079577,0.3194805194805195,0.27638190954773867,0.23300970873786409,0.1952941176470588,0.1651376146788991,0.15454545454545454,0.13901345291479822,0.11403508771929824,0.08547008547008547,0.06276150627615062,0.040983606557377046,0.018036072144288578,0.016,0.003952569169960474,0.0019723865877712033,0.0019723865877712033,0.0,0.0,0.1145013991666227,0.26729854594321173,0.2349856811155703,0.1924282194880875,0.1566198624110309,0.1411057556951855,0.13135590677642778,0.1319258802950133,0.13131372371857924,0.12025674391246023,0.10521646606021606,0.10168189589513119,0.09596524743583566,0.04794336461003127,0.050557906807906804,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.0,0.0,0.10472296217082992,0.353099730458221,0.33153638814016173,0.29649595687331537,0.2587601078167116,0.22371967654986524,0.1940700808625337,0.18328840970350405,0.16711590296495957,0.14016172506738545,0.1078167115902965,0.08086253369272237,0.05390835579514825,0.02425876010781671,0.0215633423180593,0.005390835579514825,0.0026954177897574125,0.0026954177897574125,0.0,0.0,0.1288125975315648,0.9562043795620438,0.8978102189781022,0.8029197080291971,0.7007299270072993,0.6058394160583942,0.5255474452554745,0.49635036496350365,0.45255474452554745,0.3795620437956204,0.291970802919708,0.21897810218978103,0.145985401459854,0.06569343065693431,0.058394160583941604,0.014598540145985401,0.0072992700729927005,0.0072992700729927005,0.0,0.0,0.3488282750672302,0.35958216151064676,0.3350449293966624,0.2928229665071771,0.25219298245614036,0.23272035510462902,0.21783625730994152,0.21826625386996903,0.21901528013582341,0.20445344129554652,0.18157894736842103,0.17543859649122803,0.16842105263157894,0.08771929824561403,0.09210526315789473,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.1681627643328094,0.39351522047147497,0.370327420655896,0.3282750660072642,0.29131806231264434,0.2660644790573173,0.24676094853145936,0.24810322735905507,0.2426203078854632,0.2170582470505071,0.19591841122413875,0.19357175618785524,0.1822002923976608,0.09608512020792721,0.10151681286549707,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.18585421626611925,0.3724373802813202,0.39108475262157194,0.4220793901414288,0.4587695706576748,0.49481043814217146,0.5284436186565307,0.5402429936678576,0.5571182882811948,0.5825025462210349,0.6123051287436531,0.6422808439493888,0.6751359838461474,0.7374239660645627,0.7457156674443819,0.8262042675703263,0.8814871218568495,0.8814871218568495,1.0,1.0,0.6499752147369972,0.30721823598937364,0.27911700768980735,0.23886018727814154,0.20131312049570166,0.1776742356771268,0.1596629307318163,0.15550075497568436,0.14813713751426952,0.1298283200143837,0.1065086539947085,0.09067665483882792,0.0719258555926898,0.03410346875079334,0.033018138218007316,0.01207055338026414,0.008535170147858978,0.008535170147858978,0.0,0.0,0.11382555765459547,131.0,123.0,110.0,96.0,83.0,72.0,68.0,62.0,52.0,40.0,30.0,20.0,9.0,8.0,2.0,1.0,1.0,0.0,0.0,47.78947368421053,240.0,248.0,261.0,275.0,288.0,299.0,303.0,309.0,319.0,331.0,341.0,351.0,362.0,363.0,369.0,370.0,370.0,371.0,371.0,323.2105263157895,6.0,14.0,27.0,41.0,54.0,65.0,69.0,75.0,85.0,97.0,107.0,117.0,128.0,129.0,135.0,136.0,136.0,137.0,137.0,89.21052631578948,-0.20485175202156333,0.6162813726407598,-0.15363881401617252,0.1078167115902965,0.291970802919708,0.0,0.25,0.75,-0.246223032599379,0.15748031496062992,0.14831804281345565,-0.1570855892208971,24.651254905630392,40,331,97,19,0,5,15,13.0,654,0.08661417322834646,0.05929919137466307,0.16058394160583941,22,349,115,137,371,9,20
MOT17-11-MOTSynth,0.22295371740540554,0.47224214675310944,0.10528814213411482,0.22295371740540554,0.21830575959798287,0.21773480848433274,0.21707153760856243,0.21085902491529543,0.19397524273318884,0.15811648472821024,0.1540483390975621,0.13274975129173508,0.11810237138024396,0.10264592869884424,0.08888886549410151,0.04894356808473367,0.027123102442882203,0.012602529180405424,0.0,0.0,0.0,0.0,0.11179584374439404,0.21451104100946372,0.203125,0.19937694704049844,0.1956521739130435,0.17378048780487804,0.15615615615615616,0.1323529411764706,0.12903225806451613,0.11271676300578035,0.09375,0.08450704225352113,0.07242339832869081,0.03773584905660377,0.013157894736842105,0.005221932114882507,0.0,0.0,0.0,0.0,0.0959736781400709,0.23172867872426398,0.23462106916259592,0.237782991110197,0.24083582358092162,0.25584879493577495,0.2409536435808085,0.18889510516787011,0.1839144035350605,0.15634317379318108,0.14878048134012872,0.1246782090283039,0.10909775833728541,0.06348003070692146,0.05591036414565827,0.0304147465437788,0.0,0.0,0.0,0.0,0.13175185651014476,0.22591362126245848,0.2159468438538206,0.21262458471760798,0.20930232558139536,0.1893687707641196,0.17275747508305647,0.14950166112956811,0.1461794019933555,0.12956810631229235,0.10963455149501661,0.09966777408637874,0.08637873754152824,0.046511627906976744,0.016611295681063124,0.006644518272425249,0.0,0.0,0.0,0.0,0.10613743661479279,0.8095238095238095,0.7738095238095238,0.7619047619047619,0.75,0.6785714285714286,0.6190476190476191,0.5357142857142857,0.5238095238095238,0.4642857142857143,0.39285714285714285,0.35714285714285715,0.30952380952380953,0.16666666666666666,0.05952380952380952,0.023809523809523808,0.0,0.0,0.0,0.0,0.38032581453634084,0.3415032679738562,0.34615384615384615,0.3506944444444444,0.35537918871252205,0.37524366471734893,0.358974358974359,0.29012345679012347,0.2828282828282828,0.24643874643874644,0.234006734006734,0.2074074074074074,0.18376068376068375,0.11111111111111112,0.1,0.05555555555555555,0.0,0.0,0.0,0.0,0.2020621446776327,0.40534272532542426,0.40383107088989445,0.4090248599439776,0.41234271486372326,0.43500090094517335,0.4232923938806291,0.36444651934848016,0.35802351243527714,0.31560487442840385,0.3135698723934018,0.26409897292250234,0.23849026790203262,0.1889422435640923,0.1126984126984127,0.06349206349206349,0.0,0.0,0.0,0.0,0.24780007394913098,0.47224214675310944,0.4905685963027291,0.4963518317997494,0.501477201528166,0.529442305194227,0.5524582545120611,0.589210011204102,0.5936252160783366,0.6155014885403738,0.6421392806884991,0.6538352483098467,0.6644601736253276,0.7015216126331297,0.7496124718966946,0.7715637780265948,1.0,1.0,1.0,1.0,0.685474190373313,0.22880267690952238,0.22509038048586516,0.22485219531442496,0.22451614186689908,0.22011308865778292,0.204025839238767,0.16804800505165496,0.16396492773370716,0.14232740060591315,0.12771640984203125,0.11147376180486285,0.09707588080355208,0.05433746007832708,0.030475294755907444,0.014215883340873368,0.0,0.0,0.0,0.0,0.1177387024468469,68.0,65.0,64.0,63.0,57.0,52.0,45.0,44.0,39.0,33.0,30.0,26.0,14.0,5.0,2.0,0.0,0.0,0.0,0.0,31.94736842105263,233.0,236.0,237.0,238.0,244.0,249.0,256.0,257.0,262.0,268.0,271.0,275.0,287.0,296.0,299.0,301.0,301.0,301.0,301.0,269.05263157894734,16.0,19.0,20.0,21.0,27.0,32.0,39.0,40.0,45.0,51.0,54.0,58.0,70.0,79.0,82.0,84.0,84.0,84.0,84.0,52.05263157894737,-0.10631229235880399,0.6351420544542399,-0.053156146179401995,0.11295681063122924,0.40476190476190477,0.058823529411764705,0.11764705882352941,0.8235294117647058,-0.14752548222111575,0.17662337662337663,0.05555555555555555,-0.05715654479287683,21.594829851444157,34,267,50,16,1,2,14,4.0,900,0.07792207792207792,0.04983388704318937,0.17857142857142858,15,286,69,84,301,9,17
